unconvertedTime, unconvertedIntensity
-739.0365962226691,2.2560882335597097e-05
-738.273313181481,2.5979197840991815e-05
-737.7008900406543,3.0081176447463586e-05
-736.9377113673612,2.9568429121654022e-05
-736.3653664944225,2.8884766020576973e-05
-735.6022921676197,2.7517439818418137e-05
-735.0300255465282,3.0081176447463586e-05
-734.2670555448108,2.5808282065721963e-05
-733.694867159515,2.5808282065721963e-05
-732.9320014614997,2.8542934470037265e-05
-732.3579843181199,2.8542934470037265e-05
-731.5971298802463,2.6321029391531527e-05
-731.0250979184168,2.8542934470037265e-05
-730.26244076364,3.213216575069947e-05
-729.6885805329348,3.179033420015976e-05
-728.9279340742653,3.161941842488991e-05
-728.3560584717688,3.059392377327315e-05
-727.5936097747278,3.144850264962005e-05
-727.0218123278557,2.7517439818418137e-05
-726.2594678276389,3.059392377327315e-05
-725.6877485203693,3.0935755323812855e-05
-724.9255081956125,3.298674462704874e-05
-724.3538670119345,2.991026067219373e-05
-723.5917308412899,3.025209222273344e-05
-723.020167765187,2.991026067219373e-05
-722.2581357273065,3.196124997542961e-05
-721.6866507427761,2.837201869476741e-05
-720.9247228163144,3.059392377327315e-05
-720.3533159073509,3.025209222273344e-05
-719.591492070982,2.991026067219373e-05
-719.0201632215824,2.8884766020576973e-05
-718.2584434539745,3.127758687435257e-05
-717.6871926481497,3.281582885177889e-05
-716.9255769279791,3.0081176447463586e-05
-716.3544041497344,3.196124997542961e-05
-715.5928924556831,3.2644913076509036e-05
-715.0217976890428,3.691780745825066e-05
-714.2603899997955,3.58923128066339e-05
-713.6893732287701,3.2473997301239176e-05
-712.9280695230303,3.418315505393535e-05
-712.3571307316389,3.3670407728128164e-05
-711.5959309881019,2.80301871442277e-05
-711.0250701603823,3.691780745825066e-05
-710.2639743577545,3.196124997542961e-05
-709.6931914777309,2.9739344896923874e-05
-708.9321995947239,3.179033420015976e-05
-708.3614946464396,3.931062831202625e-05
-707.6006066617679,3.4866818155014773e-05
-707.029979629258,3.025209222273344e-05
-706.2691955216521,2.7346524043148284e-05
-705.6986463889573,3.40122392786655e-05
-704.9379661371453,3.0764839548543e-05
-704.3674948883249,3.161941842488991e-05
-703.6069184710402,3.435407082920521e-05
-703.0365250901375,3.452498660447506e-05
-702.2760524861216,3.452498660447506e-05
-701.7057369572015,3.40122392786655e-05
-700.9453681451985,3.7601470559330076e-05
-700.3751304523233,3.67468916829808e-05
-699.6129648227835,3.691780745825066e-05
-699.0447055383204,3.452498660447506e-05
-698.2845442466139,3.435407082920521e-05
-697.7144621780261,3.161941842488991e-05
-696.9544046146113,3.982337563783581e-05
-696.3844003342767,2.991026067219373e-05
-695.6244464779196,3.537956548082434e-05
-695.0545199699277,3.657597590771095e-05
-694.2946697994021,3.196124997542961e-05
-693.7248210478285,3.1106671099082715e-05
-692.9650745419249,2.8884766020576973e-05
-692.3934043498621,3.059392377327315e-05
-691.6356606683568,3.3499491952858305e-05
-691.0659673818907,3.0423007998003294e-05
-690.3064281415909,3.144850264962005e-05
-689.7368125638193,2.991026067219373e-05
-688.977376924515,3.196124997542961e-05
-688.4059406356025,3.144850264962005e-05
-687.6485069800414,3.144850264962005e-05
-687.0790467719784,3.4866818155014773e-05
-686.3198182710875,3.40122392786655e-05
-685.7485378378663,3.6234144357171235e-05
-684.9913107605737,3.8456049435679345e-05
-684.4220058586551,4.307077536796068e-05
-683.6629844114445,4.1190701839992275e-05
-683.0937571387674,3.708872323352051e-05
-682.3348391866367,4.3754438469037725e-05
-681.7656895273337,3.9139712536756397e-05
-681.006875049111,3.862696521094683e-05
-680.4378029873069,3.452498660447506e-05
-679.6790919618394,3.9139712536756397e-05
-679.1100974816612,3.708872323352051e-05
-678.3514898877908,3.9139712536756397e-05
-677.7825729733822,3.691780745825066e-05
-677.022172603539,3.6234144357171235e-05
-676.4552294254524,3.213216575069947e-05
-675.6968286313313,3.8456049435679345e-05
-675.1280668008817,3.435407082920521e-05
-674.3697693749236,3.025209222273344e-05
-673.7991895038476,3.2473997301239176e-05
-673.0428909837535,3.2644913076509036e-05
-672.4742841738532,3.2303081525969324e-05
-671.7161934208417,3.3499491952858305e-05
-671.1457690552353,3.555048125609419e-05
-670.3896766492329,2.871385024530712e-05
-669.8212247965157,3.5037733930284626e-05
-669.0633406319696,3.2473997301239176e-05
-668.4949662340945,2.9739344896923874e-05
-667.7371853321075,2.9568429121654022e-05
-667.1688883732425,3.0935755323812855e-05
-666.4112107127214,2.871385024530712e-05
-665.8410971673999,3.1106671099082715e-05
-665.0835228746841,3.281582885177889e-05
-664.517274608564,3.127758687435257e-05
-663.7579097634684,3.6063228581903754e-05
-663.1917386309087,3.520864970555448e-05
-662.434370568213,3.332857617758845e-05
-661.8663832071787,3.708872323352051e-05
-661.1091183015872,3.3841323503395645e-05
-660.5412083004786,3.1106671099082715e-05
-659.7840465309251,3.298674462704874e-05
-659.2162138739372,3.0081176447463586e-05
-658.4591552193477,3.3499491952858305e-05
-657.8913998906864,3.572139703136404e-05
-657.1344443300002,3.67468916829808e-05
-656.5667663138659,3.298674462704874e-05
-655.8080217685996,3.161941842488991e-05
-655.2423131066291,3.144850264962005e-05
-654.4855636705759,3.3499491952858305e-05
-653.9161485427203,3.4866818155014773e-05
-653.1595022845905,3.828513366040949e-05
-652.5939476535639,3.520864970555448e-05
-651.8374042579686,3.6063228581903754e-05
-651.2700353340936,3.8797880986216685e-05
-650.5135949271717,3.7430554784060216e-05
-649.9463032369126,3.862696521094683e-05
-649.1899657976361,3.3499491952858305e-05
-648.6227513252289,3.298674462704874e-05
-647.8665168325722,3.435407082920521e-05
-647.2993795622498,3.6234144357171235e-05
-646.5432479952037,3.40122392786655e-05
-645.9761879112018,3.537956548082434e-05
-645.2201592487494,3.94815440872961e-05
-644.6531763353198,4.307077536796068e-05
-643.8972505564572,3.931062831202625e-05
-643.3303447978385,3.8797880986216685e-05
-642.5745218815646,3.452498660447506e-05
-642.0076932620196,4.050703873891523e-05
-641.2519731873361,3.520864970555448e-05
-640.6833325747253,4.358352269376787e-05
-639.9296044370419,3.8456049435679345e-05
-639.3610411890323,4.1190701839992275e-05
-638.6074155939543,4.289985959269083e-05
-638.040818297172,4.153253339053199e-05
-637.2854066213679,4.4096270019577436e-05
