Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0
Sample Interval,0.0002
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-2.480e-02,2.72
-2.460e-02,2.8
-2.440e-02,2.72
-2.420e-02,2.72
-2.400e-02,2.72
-2.380e-02,2.8
-2.360e-02,2.8
-2.340e-02,2.72
-2.320e-02,2.8
-2.300e-02,2.8
-2.280e-02,2.8
-2.260e-02,2.88
-2.240e-02,2.96
-2.220e-02,2.96
-2.200e-02,2.88
-2.180e-02,2.96
-2.160e-02,2.96
-2.140e-02,2.96
-2.120e-02,2.96
-2.100e-02,2.96
-2.080e-02,3.04
-2.060e-02,2.88
-2.040e-02,2.88
-2.020e-02,2.96
-2.000e-02,2.96
-1.980e-02,2.88
-1.960e-02,2.88
-1.940e-02,2.96
-1.920e-02,2.88
-1.900e-02,2.8
-1.880e-02,2.88
-1.860e-02,2.8
-1.840e-02,2.72
-1.820e-02,2.72
-1.800e-02,2.8
-1.780e-02,2.72
-1.760e-02,2.8
-1.740e-02,2.8
-1.720e-02,2.72
-1.700e-02,2.8
-1.680e-02,2.72
-1.660e-02,2.72
-1.640e-02,2.72
-1.620e-02,2.72
-1.600e-02,2.72
-1.580e-02,2.8
-1.560e-02,2.72
-1.540e-02,2.8
-1.520e-02,2.8
-1.500e-02,2.88
-1.480e-02,2.88
-1.460e-02,2.8
-1.440e-02,2.96
-1.420e-02,2.88
-1.400e-02,2.88
-1.380e-02,2.88
-1.360e-02,2.88
-1.340e-02,2.88
-1.320e-02,3.04
-1.300e-02,2.96
-1.280e-02,3.04
-1.260e-02,2.96
-1.240e-02,2.96
-1.220e-02,2.96
-1.200e-02,2.96
-1.180e-02,2.96
-1.160e-02,2.96
-1.140e-02,2.88
-1.120e-02,2.88
-1.100e-02,2.96
-1.080e-02,2.96
-1.060e-02,2.8
-1.040e-02,2.8
-1.020e-02,2.8
-1.000e-02,2.8
-9.800e-03,2.8
-9.600e-03,2.8
-9.400e-03,2.8
-9.200e-03,2.8
-9.000e-03,2.88
-8.800e-03,2.8
-8.600e-03,2.8
-8.400e-03,2.8
-8.200e-03,2.72
-8.000e-03,2.8
-7.800e-03,2.8
-7.600e-03,2.72
-7.400e-03,2.8
-7.200e-03,2.8
-7.000e-03,2.88
-6.800e-03,2.8
-6.600e-03,2.8
-6.400e-03,2.88
-6.200e-03,2.88
-6.000e-03,3.04
-5.800e-03,2.88
-5.600e-03,2.96
-5.400e-03,2.96
-5.200e-03,2.96
-5.000e-03,2.96
-4.800e-03,2.96
-4.600e-03,2.96
-4.400e-03,2.96
-4.200e-03,2.96
-4.000e-03,2.96
-3.800e-03,2.96
-3.600e-03,2.96
-3.400e-03,2.96
-3.200e-03,3.04
-3.000e-03,3.04
-2.800e-03,2.96
-2.600e-03,2.96
-2.400e-03,2.96
-2.200e-03,2.88
