Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0001
Horizontal Delay,0
Sample Interval,1e-06
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Vertical Position,0
,
,
,
Label,
TIME,CH1
-2.45e-04,4.6
-2.44e-04,4.4
-2.43e-04,4.4
-2.42e-04,4.6
-2.41e-04,4.4
-2.40e-04,4.6
-2.39e-04,4.6
-2.38e-04,4.6
-2.37e-04,4.6
-2.36e-04,4.6
-2.35e-04,4.4
-2.34e-04,4.4
-2.33e-04,4.4
-2.32e-04,4.6
-2.31e-04,4.6
-2.30e-04,4.4
-2.29e-04,4.6
-2.28e-04,4.4
-2.27e-04,4.4
-2.26e-04,4.6
-2.25e-04,4.4
-2.24e-04,4.4
-2.23e-04,4.6
-2.22e-04,4.4
-2.21e-04,4.6
-2.20e-04,4.4
-2.19e-04,4.4
-2.18e-04,4.4
-2.17e-04,4.6
-2.16e-04,4.4
-2.15e-04,4.4
-2.14e-04,4.6
-2.13e-04,4.4
-2.12e-04,4.4
-2.11e-04,4.4
-2.10e-04,4.6
-2.09e-04,4.6
-2.08e-04,4.6
-2.07e-04,4.6
-2.06e-04,4.6
-2.05e-04,4.6
-2.04e-04,4.4
-2.03e-04,4.4
-2.02e-04,4.6
-2.01e-04,4.6
-2.00e-04,4.4
-1.99e-04,4.6
-1.98e-04,4.4
-1.97e-04,4.6
-1.96e-04,4.6
-1.95e-04,4.4
-1.94e-04,4.4
-1.93e-04,4.4
-1.92e-04,4.4
-1.91e-04,4.6
-1.90e-04,4.6
-1.89e-04,4.6
-1.88e-04,4.6
-1.87e-04,4.6
-1.86e-04,4.4
-1.85e-04,4.4
-1.84e-04,4.4
-1.83e-04,4.8
-1.82e-04,4.4
-1.81e-04,4.6
-1.80e-04,4.4
-1.79e-04,4.6
-1.78e-04,4.6
-1.77e-04,4.4
-1.76e-04,4.6
-1.75e-04,4.6
-1.74e-04,4.6
-1.73e-04,4.6
-1.72e-04,4.4
-1.71e-04,4.6
-1.70e-04,4.4
-1.69e-04,4.6
-1.68e-04,4.6
-1.67e-04,4.6
-1.66e-04,4.4
-1.65e-04,4.4
-1.64e-04,4.6
-1.63e-04,4.6
-1.62e-04,4.4
-1.61e-04,4.6
-1.60e-04,4.6
-1.59e-04,4.6
-1.58e-04,4.6
-1.57e-04,4.4
-1.56e-04,4.6
-1.55e-04,4.6
-1.54e-04,4.4
-1.53e-04,4.6
-1.52e-04,4.6
-1.51e-04,4.6
-1.50e-04,4.4
-1.49e-04,4.4
-1.48e-04,4.6
-1.47e-04,4.6
-1.46e-04,4.6
-1.45e-04,4.4
-1.44e-04,4.4
-1.43e-04,4.6
-1.42e-04,4.4
-1.41e-04,4.6
-1.40e-04,4.4
-1.39e-04,4.6
-1.38e-04,4.6
-1.37e-04,4.4
-1.36e-04,4.4
-1.35e-04,4.6
-1.34e-04,4.6
-1.33e-04,4.4
-1.32e-04,4.6
-1.31e-04,4.4
-1.30e-04,4.4
-1.29e-04,4.6
-1.28e-04,4.6
-1.27e-04,4.6
-1.26e-04,4.6
-1.25e-04,4.6
-1.24e-04,4.4
-1.23e-04,4.4
-1.22e-04,4.6
-1.21e-04,4.4
-1.20e-04,4.6
-1.19e-04,4.6
-1.18e-04,4.4
-1.17e-04,4.4
-1.16e-04,4.6
-1.15e-04,4.4
-1.14e-04,4.6
-1.13e-04,4.6
-1.12e-04,4.6
-1.11e-04,4.6
-1.10e-04,4.4
-1.09e-04,4.4
-1.08e-04,4.4
-1.07e-04,4.6
-1.06e-04,4.6
-1.05e-04,4.4
-1.04e-04,4.4
-1.03e-04,4.6
-1.02e-04,4.6
-1.01e-04,4.4
-1.00e-04,4.6
-9.90e-05,4.6
-9.80e-05,4.6
-9.70e-05,4.6
-9.60e-05,4.4
-9.50e-05,4.4
-9.40e-05,4.6
-9.30e-05,4.4
-9.20e-05,4.4
-9.10e-05,4.4
-9.00e-05,4.6
-8.90e-05,4.4
-8.80e-05,4.6
-8.70e-05,4.6
-8.60e-05,4.6
-8.50e-05,4.4
-8.40e-05,4.6
-8.30e-05,4.4
-8.20e-05,4.4
-8.10e-05,4.4
-8.00e-05,4.6
-7.90e-05,4.4
-7.80e-05,4.4
-7.70e-05,4.6
-7.60e-05,4.6
-7.50e-05,4.6
-7.40e-05,4.6
-7.30e-05,4.4
-7.20e-05,4.6
-7.10e-05,4.4
-7.00e-05,4.4
-6.90e-05,4.4
-6.80e-05,4.6
-6.70e-05,4.6
-6.60e-05,4.4
-6.50e-05,4.6
-6.40e-05,4.4
-6.30e-05,4.4
-6.20e-05,4.6
-6.10e-05,4.4
-6.00e-05,4.4
-5.90e-05,4.6
-5.80e-05,4.6
-5.70e-05,4.4
-5.60e-05,4.6
-5.50e-05,4.4
-5.40e-05,4.6
-5.30e-05,4.6
-5.20e-05,4.4
-5.10e-05,4.6
-5.00e-05,4.6
-4.90e-05,4.4
-4.80e-05,4.4
-4.70e-05,4.4
-4.60e-05,4.6
-4.50e-05,4.4
-4.40e-05,4.6
-4.30e-05,4.6
-4.20e-05,4.6
-4.10e-05,4.4
-4.00e-05,4.4
-3.90e-05,4.4
-3.80e-05,4.4
-3.70e-05,4.6
-3.60e-05,4.4
-3.50e-05,4.6
-3.40e-05,4.4
-3.30e-05,4.4
-3.20e-05,4.4
-3.10e-05,4.4
-3.00e-05,4.6
-2.90e-05,4.4
-2.80e-05,4.6
-2.70e-05,4.4
-2.60e-05,4.6
-2.50e-05,4.4
-2.40e-05,4.6
-2.30e-05,4.6
-2.20e-05,4.4
-2.10e-05,4.4
-2.00e-05,4.6
-1.90e-05,4.4
-1.80e-05,4.6
-1.70e-05,4.6
-1.60e-05,4.4
-1.50e-05,4.4
-1.40e-05,4.6
-1.30e-05,4.4
-1.20e-05,4.4
-1.10e-05,4.6
-1.00e-05,4.6
-9.00e-06,4.8
-8.00e-06,4.4
-7.00e-06,4.6
-6.00e-06,4.6
-5.00e-06,4.4
-4.00e-06,4.4
-3.00e-06,4.2
-2.00e-06,4.4
-1.00e-06,4.6
0.00e+00,4.4
1.00e-06,4.4
2.00e-06,4.4
3.00e-06,4.6
4.00e-06,4.4
5.00e-06,4.4
6.00e-06,4.4
7.00e-06,4.6
8.00e-06,4.4
9.00e-06,4.4
1.00e-05,4.4
1.10e-05,4.4
1.20e-05,4.4
1.30e-05,4.4
1.40e-05,4.4
1.50e-05,4.6
1.60e-05,4.4
1.70e-05,4.6
1.80e-05,4.6
1.90e-05,4.6
2.00e-05,4.4
2.10e-05,4.6
2.20e-05,4.4
2.30e-05,4.4
2.40e-05,4.4
2.50e-05,4.6
2.60e-05,4.6
2.70e-05,4.4
2.80e-05,4.6
2.90e-05,4.6
3.00e-05,4.6
3.10e-05,4.4
3.20e-05,4.6
3.30e-05,4.4
3.40e-05,4.6
3.50e-05,4.6
3.60e-05,4.6
3.70e-05,4.4
3.80e-05,4.6
3.90e-05,4.4
4.00e-05,4.6
4.10e-05,4.4
4.20e-05,4.6
4.30e-05,4.4
4.40e-05,4.4
4.50e-05,4.6
4.60e-05,4.6
4.70e-05,4.4
4.80e-05,4.6
4.90e-05,4.4
5.00e-05,4.6
5.10e-05,4.4
5.20e-05,4.4
5.30e-05,4.6
5.40e-05,4.6
5.50e-05,4.6
5.60e-05,4.6
5.70e-05,4.4
5.80e-05,4.4
5.90e-05,4.4
6.00e-05,4.4
6.10e-05,4.4
6.20e-05,4.4
6.30e-05,4.4
6.40e-05,4.4
6.50e-05,4.6
6.60e-05,4.6
6.70e-05,4.4
6.80e-05,4.6
6.90e-05,4.4
7.00e-05,4.4
7.10e-05,4.6
7.20e-05,4.4
7.30e-05,4.6
7.40e-05,4.6
7.50e-05,4.6
7.60e-05,4.6
7.70e-05,4.6
7.80e-05,4.4
7.90e-05,4.4
8.00e-05,4.6
8.10e-05,4.4
8.20e-05,4.4
8.30e-05,4.4
8.40e-05,4.4
8.50e-05,4.6
8.60e-05,4.6
8.70e-05,4.4
8.80e-05,4.6
8.90e-05,4.4
9.00e-05,4.4
9.10e-05,4.6
9.20e-05,4.4
9.30e-05,4.4
9.40e-05,4.4
9.50e-05,4.4
9.60e-05,4.4
9.70e-05,4.4
9.80e-05,4.6
9.90e-05,4.6
1.00e-04,4.4
1.01e-04,4.4
1.02e-04,4.4
1.03e-04,4.6
1.04e-04,4.6
1.05e-04,4.6
1.06e-04,4.4
1.07e-04,4.4
1.08e-04,4.4
1.09e-04,4.4
1.10e-04,4.6
1.11e-04,4.4
1.12e-04,4.4
1.13e-04,4.6
1.14e-04,4.4
1.15e-04,4.6
1.16e-04,4.4
1.17e-04,4.6
1.18e-04,4.6
1.19e-04,4.4
1.20e-04,4.4
1.21e-04,4.4
1.22e-04,4.6
1.23e-04,4.6
1.24e-04,4.6
1.25e-04,4.4
1.26e-04,4.6
1.27e-04,4.6
1.28e-04,4.4
1.29e-04,4.6
