Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2
Horizontal Delay,0
Sample Interval,0.02
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,-2.58
,
,
,
Label,
TIME,CH1
2.080e+00,3.78
2.100e+00,3.74
2.120e+00,3.78
2.140e+00,3.74
2.160e+00,3.74
2.180e+00,3.74
2.200e+00,3.78
2.220e+00,3.78
2.240e+00,3.78
2.260e+00,3.74
2.280e+00,3.74
2.300e+00,3.78
2.320e+00,3.78
2.340e+00,3.74
2.360e+00,3.78
2.380e+00,3.74
2.400e+00,3.78
2.420e+00,3.74
2.440e+00,3.78
2.460e+00,3.78
2.480e+00,3.78
2.500e+00,3.74
2.520e+00,3.74
2.540e+00,3.78
2.560e+00,3.78
2.580e+00,3.78
2.600e+00,3.78
2.620e+00,3.78
2.640e+00,3.78
2.660e+00,3.74
2.680e+00,3.78
2.700e+00,3.78
2.720e+00,3.78
2.740e+00,3.78
2.760e+00,3.74
2.780e+00,3.74
2.800e+00,3.74
2.820e+00,3.78
2.840e+00,3.74
2.860e+00,3.78
2.880e+00,3.78
2.900e+00,3.74
2.920e+00,3.74
2.940e+00,3.78
2.960e+00,3.78
2.980e+00,3.78
3.000e+00,3.78
3.020e+00,3.74
3.040e+00,3.78
3.060e+00,3.74
3.080e+00,3.74
3.100e+00,3.78
3.120e+00,3.7
3.140e+00,3.7
3.160e+00,3.74
3.180e+00,3.74
3.200e+00,3.78
3.220e+00,3.74
3.240e+00,3.78
3.260e+00,3.74
3.280e+00,3.78
3.300e+00,3.74
3.320e+00,3.74
3.340e+00,3.7
3.360e+00,3.74
3.380e+00,3.7
3.400e+00,3.74
3.420e+00,3.7
3.440e+00,3.74
3.460e+00,3.74
3.480e+00,3.78
3.500e+00,3.78
3.520e+00,3.74
3.540e+00,3.74
3.560e+00,3.74
3.580e+00,3.74
3.600e+00,3.74
3.620e+00,3.74
3.640e+00,3.74
3.660e+00,3.74
3.680e+00,3.74
3.700e+00,3.74
3.720e+00,3.74
3.740e+00,3.74
3.760e+00,3.7
3.780e+00,3.74
3.800e+00,3.74
3.820e+00,3.78
3.840e+00,3.74
3.860e+00,3.74
3.880e+00,3.74
3.900e+00,3.78
3.920e+00,3.74
3.940e+00,3.74
3.960e+00,3.74
3.980e+00,3.74
4.000e+00,3.78
4.020e+00,3.74
4.040e+00,3.74
4.060e+00,3.74
4.080e+00,3.74
4.100e+00,3.74
4.120e+00,3.74
4.140e+00,3.74
4.160e+00,3.78
4.180e+00,3.74
4.200e+00,3.74
4.220e+00,3.78
